timestamp,open,high,low,close,volume

2019-06-24,192.4200,193.9800,191.5700,192.6000,13627708

2019-06-21,188.7500,192.0000,188.7500,191.1400,22751159

2019-06-20,190.9500,191.1600,187.6400,189.5300,14635740

2019-06-19,187.0000,188.1000,184.5500,187.4800,21417092

2019-06-18,194.0000,194.5300,187.2800,188.4700,37571352

2019-06-17,185.0100,189.5000,184.4105,189.0100,29459881

2019-06-14,180.5100,181.8398,180.0000,181.3300,16773691

2019-06-13,175.5300,178.0300,174.6060,177.4700,12253569

2019-06-12,178.3800,179.2700,172.8800,175.0400,17699806

2019-06-11,178.4800,179.9800,176.7900,178.1000,15266644

2019-06-10,174.7500,177.8600,173.8000,174.8200,14767918

2019-06-07,170.1700,173.8700,168.8400,173.3500,16917343

2019-06-06,168.3000,169.7000,167.2300,168.3300,12446354

2019-06-05,167.4800,168.7200,164.6300,168.1700,19758317

2019-06-04,163.7100,168.2800,160.8400,167.5000,46044256

2019-06-03,175.0000,175.0500,161.0100,164.1500,56059609

2019-05-31,180.2800,180.5400,177.1600,177.4700,15226536

2019-05-30,183.0800,183.4800,180.8900,183.0100,8581544

2019-05-29,183.5000,184.5600,181.3500,182.1900,12797685

2019-05-28,181.5400,184.7119,181.4537,184.3100,14843308

2019-05-24,182.3300,183.6300,180.8300,181.0600,8807701

2019-05-23,182.4200,183.9000,179.6700,180.8700,12768835

2019-05-22,184.7300,186.7400,183.6100,185.3200,9213801

2019-05-21,184.5700,185.7000,183.8850,184.8200,7502820

2019-05-20,181.8800,184.2300,181.3700,182.7200,10351981

2019-05-17,184.8400,187.5800,184.2800,185.3000,10485370

2019-05-16,185.0500,188.5750,185.0500,186.9900,12953111

2019-05-15,180.4200,187.2800,180.0200,186.2700,16746904

2019-05-14,182.5200,183.4900,178.1000,180.7300,17628142

2019-05-13,183.5000,185.4300,180.8400,181.5400,16833347

2019-05-10,188.2500,190.0000,184.5900,188.3400,12578508

2019-05-09,187.2000,189.7700,186.2600,188.6500,12967033

2019-05-08,189.3900,190.7200,188.5500,189.5400,12505737

2019-05-07,192.5400,192.9000,187.8500,189.7700,16253001

2019-05-06,191.2400,194.2800,190.5500,193.8800,13994932

2019-05-03,194.3800,196.1600,193.7100,195.4700,14575434

2019-05-02,193.0000,194.0000,189.7500,192.5300,13209452

2019-05-01,194.7800,196.1769,193.0100,193.0300,15996646

2019-04-30,194.1900,197.3900,192.2800,193.4000,23494689

2019-04-29,190.9500,195.4100,190.6500,194.7800,19641310

2019-04-26,192.5000,192.9000,189.0900,191.4900,22075002

2019-04-25,196.9800,198.4800,192.1200,193.2600,54148789

2019-04-24,184.4900,185.1400,181.6500,182.5800,37289871

2019-04-23,182.7400,184.2200,181.4800,183.7800,19954814

2019-04-22,178.2500,181.6650,178.2500,181.4400,13389889

2019-04-18,178.8000,178.8800,177.3400,178.2800,11655608

2019-04-17,179.6000,180.7400,178.3600,178.7800,9973732

2019-04-16,179.0000,180.1700,178.3000,178.8700,11215193

2019-04-15,178.5000,180.5000,176.8700,179.6500,10834762

2019-04-12,178.0000,179.6300,177.9500,179.1000,12329812

2019-04-11,178.2400,178.4000,177.0000,177.5100,8070967

2019-04-10,178.1800,178.7900,176.5400,177.8200,11701479

2019-04-09,175.6200,179.1900,175.5500,177.5800,19751031

2019-04-08,175.2100,175.5000,174.2300,174.9300,7297379

2019-04-05,176.8800,177.0000,175.1000,175.7200,9594133

2019-04-04,176.0200,178.0000,175.5301,176.0200,17847731

2019-04-03,174.5000,177.9600,172.9500,173.5400,27590058

2019-04-02,170.1400,174.9000,169.5500,174.2000,23946529

2019-04-01,167.8300,168.9000,167.2789,168.7000,10381490

2019-03-29,166.3900,167.1900,164.8100,166.6900,13455454

2019-03-28,164.5700,166.7200,163.3300,165.5500,10689171

2019-03-27,167.8500,168.9400,164.7900,165.8700,10620299

2019-03-26,167.3500,169.4500,166.3499,167.6800,15437920

2019-03-25,163.0000,166.5400,162.0000,166.2900,12631230

2019-03-22,165.6500,167.4200,164.0900,164.3400,16389185

2019-03-21,164.8900,166.3900,163.7500,166.0800,16223007

2019-03-20,161.5000,166.1200,161.2400,165.4400,20211474

2019-03-19,161.4800,163.8200,160.8200,161.5700,25611488

2019-03-18,163.5700,163.9000,159.2800,160.4700,37524191

2019-03-15,167.1600,167.5800,162.5100,165.9800,37126000

2019-03-14,169.7600,171.1500,168.1600,170.1700,18037364

2019-03-13,172.3200,174.0300,172.1200,173.3700,11973280

2019-03-12,172.0900,173.8000,171.2178,171.9200,12155264

2019-03-11,171.6000,174.3000,171.5800,172.0700,18883983

2019-03-08,166.2000,169.6200,165.9700,169.6000,13184831

2019-03-07,171.5000,171.7400,167.6100,169.1300,18306504

2019-03-06,172.9000,173.5700,171.2700,172.5100,21531723

2019-03-05,167.3700,171.8800,166.5500,171.2600,28187890

2019-03-04,163.9000,167.5000,163.8300,167.3700,18894689

2019-03-01,162.6000,163.1320,161.6900,162.2800,11097770

2019-02-28,162.3700,163.5000,160.8600,161.4500,11114185

2019-02-27,162.9000,163.9300,160.4100,162.8100,12697485

2019-02-26,164.3350,166.2400,163.8000,164.1300,13784063

2019-02-25,163.0700,166.0700,162.9000,164.6200,18737106

2019-02-22,160.5800,162.4100,160.3100,161.8900,15858468

2019-02-21,161.9300,162.2400,159.5900,160.0400,15607828

2019-02-20,162.2500,163.7200,161.2500,162.5600,11770692

2019-02-19,160.5000,164.1500,160.3300,162.2900,14345390

2019-02-15,164.5100,164.7000,160.8600,162.5000,15504415

2019-02-14,163.1900,164.8697,162.2468,163.9500,12755151

2019-02-13,165.3800,166.2200,163.7300,164.0700,14205146

2019-02-12,166.8600,168.3400,164.5000,165.0400,16292290

2019-02-11,167.9000,168.3000,165.0800,165.7900,12811176

2019-02-08,164.4700,167.3700,164.2100,167.3300,12561422

2019-02-07,168.2000,169.2400,165.2500,166.3800,17517609

2019-02-06,171.2000,172.4700,169.2700,170.4900,13281161

2019-02-05,169.1500,171.9800,168.6900,171.1600,22556985

2019-02-04,165.7000,169.3000,163.6200,169.2500,20036470

2019-02-01,165.8400,169.1000,165.6600,165.7100,30806513

2019-01-31,165.6000,171.6800,165.0000,166.6900,77233602

